steam_temp_C,steam_pressure_kgcm2,vibration_mms,bearing_temp_C,rpm,oil_pressure_kgcm2,load_percent,failure
531.1,171.59,2.72,70.05,2991.3,2.09,79.3,0
532.61,161.38,2.05,59.94,3004.7,2.02,70.9,0
534.96,172.99,4.55,66.97,3001.8,2.1,79.0,0
576.74,152.19,7.76,85.17,2960.9,1.52,74.1,1
541.67,160.2,1.44,65.98,3011.1,2.23,83.8,0
537.59,173.87,2.07,58.27,2986.8,1.97,86.3,0
534.58,173.06,3.32,69.66,2987.4,2.14,88.3,0
547.8,169.11,2.17,70.9,2986.5,2.37,88.0,0
542.89,166.77,2.79,72.69,2999.5,2.51,58.8,0
561.36,164.89,4.77,76.82,2931.5,1.84,81.8,0
533.69,173.72,2.33,62.87,3007.5,2.43,87.6,0
575.51,164.36,9.18,90.89,2970.6,1.4,62.1,1
542.37,171.31,2.5,63.83,2978.8,2.12,81.6,0
533.58,171.07,0.88,60.28,3021.1,2.2,68.3,0
540.48,182.32,2.35,66.51,2999.5,1.97,96.4,0
575.86,166.27,6.49,92.81,3014.3,1.3,62.0,1
549.47,159.71,6.22,89.25,2941.3,2.02,61.3,1
537.42,168.22,2.94,70.22,3007.9,2.47,100.0,0
538.38,171.67,6.62,70.75,2997.2,2.21,80.4,1
561.46,165.48,3.64,82.43,3014.6,2.09,66.1,0
566.17,169.69,6.7,86.48,2951.9,1.81,58.0,1
566.62,160.56,9.08,101.69,2964.4,2.1,66.5,1
545.01,165.71,1.64,67.41,2996.6,2.34,89.7,0
539.42,167.74,3.12,70.23,2994.9,2.01,79.9,0
541.39,171.93,1.79,65.77,3000.9,1.97,88.6,0
544.49,165.2,3.61,69.53,2990.9,2.26,87.6,0
544.12,189.26,2.96,70.68,3014.3,2.33,81.8,0
546.07,170.83,1.82,64.8,2992.0,1.84,88.6,0
536.22,175.44,2.55,59.61,2989.3,2.34,77.7,0
565.68,172.78,7.96,73.01,2971.1,1.5,81.8,1
533.83,178.31,2.23,63.41,3004.8,1.88,94.5,0
586.56,157.74,11.26,86.09,2997.7,1.24,50.3,1
543.55,173.87,1.76,64.7,2951.4,2.0,82.5,0
530.02,177.72,3.56,64.36,2993.0,2.21,100.0,0
532.15,172.31,2.66,62.0,3001.0,2.12,86.1,0
545.3,166.92,4.19,68.43,3001.1,2.29,83.9,0
542.25,166.89,2.33,62.53,2991.2,2.37,88.6,0
534.46,171.81,2.97,61.85,3013.2,2.31,77.9,0
539.83,170.59,3.52,62.04,3008.2,2.16,82.8,0
548.79,167.96,2.71,65.06,3014.0,2.1,94.5,0
542.59,169.35,2.58,67.98,2987.7,2.62,74.9,0
530.29,173.85,3.03,61.5,2999.9,1.78,100.0,0
533.4,168.39,2.83,62.18,2987.7,2.25,87.4,0
565.57,154.04,8.91,82.57,2921.0,1.32,64.9,1
523.7,177.85,2.26,64.98,2989.8,2.19,97.7,0
546.17,169.46,2.82,68.45,2994.0,2.24,85.1,0
564.31,162.67,9.06,91.39,3019.4,1.46,81.7,1
559.22,175.69,5.01,74.86,2960.2,1.27,68.8,0
524.7,171.81,2.96,69.85,3011.1,2.5,92.0,0
538.94,175.9,2.12,56.43,3020.3,2.18,97.4,0
539.13,169.72,2.71,66.51,3022.7,2.26,81.9,0
557.88,147.27,9.92,100.4,2990.1,1.22,62.0,1
552.41,170.58,3.44,65.34,3030.9,2.55,82.5,0
560.92,169.07,6.38,68.81,3001.1,2.21,57.5,0
